YearQuarter,Industry,Gender,Average Weekly Ordinary Time Hours Paid,Average Weekly Overtime Hours Paid,Average Total (Ordinary Time + Overtime) Weekly Hours Paid
1989Q1,Forestry and Mining,Male,37.74,3.15,40.9
1989Q2,Forestry and Mining,Male,36.9,2.87,39.77
1989Q3,Forestry and Mining,Male,37.22,2.81,40.03
1989Q4,Forestry and Mining,Male,36.41,3.31,39.72
1990Q1,Forestry and Mining,Male,36.78,2.87,39.65
1990Q2,Forestry and Mining,Male,36.89,3.06,39.96
1990Q3,Forestry and Mining,Male,36.62,2.51,39.13
1990Q4,Forestry and Mining,Male,36.77,3.21,39.97
1991Q1,Forestry and Mining,Male,37.43,2.82,40.25
1991Q2,Forestry and Mining,Male,37.52,2.87,40.39
1991Q3,Forestry and Mining,Male,37.68,2.66,40.34
1991Q4,Forestry and Mining,Male,36.87,3.01,39.88
1992Q1,Forestry and Mining,Male,37.64,3.34,40.98
1992Q2,Forestry and Mining,Male,38.17,3.7,41.87
1992Q3,Forestry and Mining,Male,37.89,3.26,41.16
1992Q4,Forestry and Mining,Male,37.8,3.49,41.29
1993Q1,Forestry and Mining,Male,38.05,2.95,41
1993Q2,Forestry and Mining,Male,37.89,3.35,41.23
1993Q3,Forestry and Mining,Male,37.69,2.93,40.62
1993Q4,Forestry and Mining,Male,37.77,3.41,41.18
1994Q1,Forestry and Mining,Male,38.27,3.35,41.62
1994Q2,Forestry and Mining,Male,38,2.77,40.77
1994Q3,Forestry and Mining,Male,37.92,2.67,40.59
1994Q4,Forestry and Mining,Male,37.68,2.73,40.41
1995Q1,Forestry and Mining,Male,38.7,2.92,41.62
1995Q2,Forestry and Mining,Male,39.62,2.98,42.6
1995Q3,Forestry and Mining,Male,39.5,2.66,42.16
1995Q4,Forestry and Mining,Male,40.1,3.04,43.14
1996Q1,Forestry and Mining,Male,39,2.63,41.63
1996Q2,Forestry and Mining,Male,39.36,2.92,42.28
1996Q3,Forestry and Mining,Male,39,2.22,41.22
1996Q4,Forestry and Mining,Male,38.38,2.63,41
1997Q1,Forestry and Mining,Male,38.85,2.51,41.36
1997Q2,Forestry and Mining,Male,38.87,2.55,41.42
1997Q3,Forestry and Mining,Male,37.85,1.87,39.72
1997Q4,Forestry and Mining,Male,38.27,2.22,40.49
1998Q1,Forestry and Mining,Male,37.47,1.92,39.39
1998Q2,Forestry and Mining,Male,37.82,2.08,39.9
1998Q3,Forestry and Mining,Male,37.98,1.88,39.86
1998Q4,Forestry and Mining,Male,37.77,2.25,40.01
1999Q1,Forestry and Mining,Male,38.31,2.49,40.8
1999Q2,Forestry and Mining,Male,38.29,2.19,40.48
1999Q3,Forestry and Mining,Male,38.47,2.13,40.6
1999Q4,Forestry and Mining,Male,39.88,1.74,41.62
2000Q1,Forestry and Mining,Male,40.18,2.38,42.56
2000Q2,Forestry and Mining,Male,39.92,2.22,42.14
2000Q3,Forestry and Mining,Male,39.42,1.6,41.02
2000Q4,Forestry and Mining,Male,40.73,2.01,42.75
2001Q1,Forestry and Mining,Male,39.42,2.05,41.48
2001Q2,Forestry and Mining,Male,38.89,1.85,40.75
2001Q3,Forestry and Mining,Male,39.77,1.8,41.57
2001Q4,Forestry and Mining,Male,40.75,1.91,42.66
2002Q1,Forestry and Mining,Male,39.15,2.51,41.66
2002Q2,Forestry and Mining,Male,39.59,2.06,41.65
2002Q3,Forestry and Mining,Male,40.43,1.59,42.02
2002Q4,Forestry and Mining,Male,39.9,1.92,41.83
2003Q1,Forestry and Mining,Male,40.3,2.9,43.2
2003Q2,Forestry and Mining,Male,39.28,1.8,41.07
2003Q3,Forestry and Mining,Male,36.6,1.35,37.96
2003Q4,Forestry and Mining,Male,38.69,1.76,40.45
2004Q1,Forestry and Mining,Male,39.2,1.67,40.87
2004Q2,Forestry and Mining,Male,37.72,1.73,39.45
2004Q3,Forestry and Mining,Male,36.99,1.65,38.65
2004Q4,Forestry and Mining,Male,38.78,2.09,40.87
2005Q1,Forestry and Mining,Male,37.24,1.86,39.11
2005Q2,Forestry and Mining,Male,38.17,1.74,39.91
2005Q3,Forestry and Mining,Male,38.5,1.42,39.92
2005Q4,Forestry and Mining,Male,38.79,1.81,40.59
2006Q1,Forestry and Mining,Male,37.96,1.6,39.56
2006Q2,Forestry and Mining,Male,38.13,1.54,39.67
2006Q3,Forestry and Mining,Male,38.8,1.39,40.19
2006Q4,Forestry and Mining,Male,38.89,1.5,40.39
2007Q1,Forestry and Mining,Male,39.11,1.8,40.91
2007Q2,Forestry and Mining,Male,40.08,1.62,41.7
2007Q3,Forestry and Mining,Male,39.29,1.41,40.71
2007Q4,Forestry and Mining,Male,39.49,1.61,41.1
2008Q1,Forestry and Mining,Male,39.09,1.5,40.59
2008Q2,Forestry and Mining,Male,38.93,1.84,40.77
2008Q3,Forestry and Mining,Male,39.99,1.37,41.36
2008Q4,Forestry and Mining,Male,39.44,1.46,40.9
2009Q1,Forestry and Mining,Male,39.43,1.41,40.83
2009Q2,Forestry and Mining,Male,38.52,1.44,39.95
2009Q3,Forestry and Mining,Male,40.28,1.15,41.43
2009Q4,Forestry and Mining,Male,40.43,1.54,41.98
2010Q1,Forestry and Mining,Male,40.53,1.64,42.17
2010Q2,Forestry and Mining,Male,40.8,1.28,42.08
2010Q3,Forestry and Mining,Male,39.11,1.45,40.56
2010Q4,Forestry and Mining,Male,39.17,1.29,40.46
2011Q1,Forestry and Mining,Male,38.49,1.53,40.03
2011Q2,Forestry and Mining,Male,38.91,1.16,40.08
2011Q3,Forestry and Mining,Male,38.12,1.16,39.28
2011Q4,Forestry and Mining,Male,41.44,1.28,42.72
2012Q1,Forestry and Mining,Male,41.6,1.73,43.33
2012Q2,Forestry and Mining,Male,40.33,1.46,41.79
2012Q3,Forestry and Mining,Male,40.83,1.2,42.04
