YearQuarter,Industry,Gender,Number of Working Proprietors,Number of Part-Time Paid Employees,Number of Full-Time Paid Employees,Total Number of People in Employment
1989Q1,Forestry and Mining,Male,800,800,9000,10700
1989Q2,Forestry and Mining,Male,800,900,8100,9800
1989Q3,Forestry and Mining,Male,800,800,7900,9500
1989Q4,Forestry and Mining,Male,800,900,7500,9200
1990Q1,Forestry and Mining,Male,800,800,7700,9400
1990Q2,Forestry and Mining,Male,800,800,7100,8800
1990Q3,Forestry and Mining,Male,800,800,7700,9300
1990Q4,Forestry and Mining,Male,800,800,7400,9000
1991Q1,Forestry and Mining,Male,800,800,8100,9700
1991Q2,Forestry and Mining,Male,800,800,7500,9100
1991Q3,Forestry and Mining,Male,800,800,7500,9100
1991Q4,Forestry and Mining,Male,900,800,7500,9200
1992Q1,Forestry and Mining,Male,900,700,8400,10000
1992Q2,Forestry and Mining,Male,900,700,7700,9200
1992Q3,Forestry and Mining,Male,900,700,7600,9300
1992Q4,Forestry and Mining,Male,900,700,7500,9200
1993Q1,Forestry and Mining,Male,1000,700,9100,10800
1993Q2,Forestry and Mining,Male,1000,600,8300,9900
1993Q3,Forestry and Mining,Male,1100,700,8400,10100
1993Q4,Forestry and Mining,Male,1100,700,8400,10200
1994Q1,Forestry and Mining,Male,1200,700,10200,12100
1994Q2,Forestry and Mining,Male,1200,700,9800,11800
1994Q3,Forestry and Mining,Male,1200,800,9800,11800
1994Q4,Forestry and Mining,Male,1300,1000,9200,11400
1995Q1,Forestry and Mining,Male,1300,700,10500,12500
1995Q2,Forestry and Mining,Male,1300,600,9700,11600
1995Q3,Forestry and Mining,Male,1200,600,9900,11700
1995Q4,Forestry and Mining,Male,1200,600,9900,11700
1996Q1,Forestry and Mining,Male,1200,500,11000,12700
1996Q2,Forestry and Mining,Male,1200,500,8500,10200
1996Q3,Forestry and Mining,Male,1100,500,9700,11300
1996Q4,Forestry and Mining,Male,1100,600,9700,11400
1997Q1,Forestry and Mining,Male,1100,500,10600,12200
1997Q2,Forestry and Mining,Male,1000,500,9500,11100
1997Q3,Forestry and Mining,Male,1000,500,9700,11200
1997Q4,Forestry and Mining,Male,1000,500,9200,10700
1998Q1,Forestry and Mining,Male,900,400,10800,12100
1998Q2,Forestry and Mining,Male,900,400,9300,10600
1998Q3,Forestry and Mining,Male,900,400,8800,10100
1998Q4,Forestry and Mining,Male,900,400,8500,9800
1999Q1,Forestry and Mining,Male,800,300,8100,9300
1999Q2,Forestry and Mining,Male,800,400,8100,9300
1999Q3,Forestry and Mining,Male,800,500,8400,9700
1999Q4,Forestry and Mining,Male,800,500,8800,10100
2000Q1,Forestry and Mining,Male,700,300,7800,8800
2000Q2,Forestry and Mining,Male,800,300,8100,9200
2000Q3,Forestry and Mining,Male,600,300,7800,8700
2000Q4,Forestry and Mining,Male,700,400,8300,9300
2001Q1,Forestry and Mining,Male,700,300,8100,9200
2001Q2,Forestry and Mining,Male,700,300,8400,9400
2001Q3,Forestry and Mining,Male,600,200,8400,9200
2001Q4,Forestry and Mining,Male,700,200,9600,10500
2002Q1,Forestry and Mining,Male,600,200,9900,10700
2002Q2,Forestry and Mining,Male,800,300,10500,11600
2002Q3,Forestry and Mining,Male,900,200,11100,12200
2002Q4,Forestry and Mining,Male,900,200,11500,12600
2003Q1,Forestry and Mining,Male,900,200,11100,12100
2003Q2,Forestry and Mining,Male,900,400,11200,12600
2003Q3,Forestry and Mining,Male,1000,600,11300,12800
2003Q4,Forestry and Mining,Male,800,800,10200,11800
2004Q1,Forestry and Mining,Male,900,300,10200,11400
2004Q2,Forestry and Mining,Male,900,400,10400,11700
2004Q3,Forestry and Mining,Male,800,500,10500,11800
2004Q4,Forestry and Mining,Male,1100,500,9900,11400
2005Q1,Forestry and Mining,Male,900,700,9700,11400
2005Q2,Forestry and Mining,Male,600,500,9500,10600
2005Q3,Forestry and Mining,Male,700,200,9300,10300
2005Q4,Forestry and Mining,Male,600,400,9400,10500
2006Q1,Forestry and Mining,Male,700,300,9600,10600
2006Q2,Forestry and Mining,Male,600,300,9900,10800
2006Q3,Forestry and Mining,Male,600,400,10100,11000
2006Q4,Forestry and Mining,Male,600,300,10500,11400
2007Q1,Forestry and Mining,Male,500,400,9000,9900
2007Q2,Forestry and Mining,Male,500,300,9700,10500
2007Q3,Forestry and Mining,Male,600,300,10600,11500
2007Q4,Forestry and Mining,Male,500,300,10400,11200
2008Q1,Forestry and Mining,Male,600,400,10100,11000
2008Q2,Forestry and Mining,Male,500,400,10100,11000
2008Q3,Forestry and Mining,Male,400,400,9200,10000
2008Q4,Forestry and Mining,Male,400,500,9300,10200
2009Q1,Forestry and Mining,Male,300,300,9200,9800
2009Q2,Forestry and Mining,Male,300,300,9200,9800
