YearQuarter,Industry,Gender,Number of Full-Time Equivalent Employees
1989Q1,Forestry and Mining,Male,9400
1989Q2,Forestry and Mining,Male,8600
1989Q3,Forestry and Mining,Male,8300
1989Q4,Forestry and Mining,Male,7900
1990Q1,Forestry and Mining,Male,8100
1990Q2,Forestry and Mining,Male,7500
1990Q3,Forestry and Mining,Male,8100
1990Q4,Forestry and Mining,Male,7800
1991Q1,Forestry and Mining,Male,8500
1991Q2,Forestry and Mining,Male,7800
1991Q3,Forestry and Mining,Male,7800
1991Q4,Forestry and Mining,Male,7900
1992Q1,Forestry and Mining,Male,8800
1992Q2,Forestry and Mining,Male,8000
1992Q3,Forestry and Mining,Male,8000
1992Q4,Forestry and Mining,Male,7900
1993Q1,Forestry and Mining,Male,9500
1993Q2,Forestry and Mining,Male,8600
1993Q3,Forestry and Mining,Male,8700
1993Q4,Forestry and Mining,Male,8700
1994Q1,Forestry and Mining,Male,10500
1994Q2,Forestry and Mining,Male,10200
1994Q3,Forestry and Mining,Male,10200
1994Q4,Forestry and Mining,Male,9700
1995Q1,Forestry and Mining,Male,10900
1995Q2,Forestry and Mining,Male,10000
1995Q3,Forestry and Mining,Male,10200
1995Q4,Forestry and Mining,Male,10200
1996Q1,Forestry and Mining,Male,11200
1996Q2,Forestry and Mining,Male,8800
1996Q3,Forestry and Mining,Male,9900
1996Q4,Forestry and Mining,Male,10000
1997Q1,Forestry and Mining,Male,10900
1997Q2,Forestry and Mining,Male,9800
1997Q3,Forestry and Mining,Male,10000
1997Q4,Forestry and Mining,Male,9400
1998Q1,Forestry and Mining,Male,11000
1998Q2,Forestry and Mining,Male,9500
1998Q3,Forestry and Mining,Male,9000
1998Q4,Forestry and Mining,Male,8700
1999Q1,Forestry and Mining,Male,8300
1999Q2,Forestry and Mining,Male,8300
1999Q3,Forestry and Mining,Male,8700
1999Q4,Forestry and Mining,Male,9000
2000Q1,Forestry and Mining,Male,8000
2000Q2,Forestry and Mining,Male,8300
2000Q3,Forestry and Mining,Male,7900
2000Q4,Forestry and Mining,Male,8500
2001Q1,Forestry and Mining,Male,8300
2001Q2,Forestry and Mining,Male,8500
2001Q3,Forestry and Mining,Male,8500
2001Q4,Forestry and Mining,Male,9700
2002Q1,Forestry and Mining,Male,10000
2002Q2,Forestry and Mining,Male,10600
2002Q3,Forestry and Mining,Male,11200
2002Q4,Forestry and Mining,Male,11700
2003Q1,Forestry and Mining,Male,11200
2003Q2,Forestry and Mining,Male,11500
2003Q3,Forestry and Mining,Male,11600
2003Q4,Forestry and Mining,Male,10600
2004Q1,Forestry and Mining,Male,10300
2004Q2,Forestry and Mining,Male,10600
2004Q3,Forestry and Mining,Male,10700
2004Q4,Forestry and Mining,Male,10100
2005Q1,Forestry and Mining,Male,10100
2005Q2,Forestry and Mining,Male,9700
2005Q3,Forestry and Mining,Male,9400
2005Q4,Forestry and Mining,Male,9700
2006Q1,Forestry and Mining,Male,9800
2006Q2,Forestry and Mining,Male,10100
2006Q3,Forestry and Mining,Male,10300
2006Q4,Forestry and Mining,Male,10600
2007Q1,Forestry and Mining,Male,9200
2007Q2,Forestry and Mining,Male,9800
2007Q3,Forestry and Mining,Male,10700
2007Q4,Forestry and Mining,Male,10600
2008Q1,Forestry and Mining,Male,10300
2008Q2,Forestry and Mining,Male,10300
2008Q3,Forestry and Mining,Male,9400
2008Q4,Forestry and Mining,Male,9500
2009Q1,Forestry and Mining,Male,9400
2009Q2,Forestry and Mining,Male,9300
2009Q3,Forestry and Mining,Male,10000
2009Q4,Forestry and Mining,Male,9500
2010Q1,Forestry and Mining,Male,9500
2010Q2,Forestry and Mining,Male,10100
2010Q3,Forestry and Mining,Male,10200
2010Q4,Forestry and Mining,Male,9600
2011Q1,Forestry and Mining,Male,9800
2011Q2,Forestry and Mining,Male,9400
2011Q3,Forestry and Mining,Male,9500
2011Q4,Forestry and Mining,Male,9600
2012Q1,Forestry and Mining,Male,9800
2012Q2,Forestry and Mining,Male,9700
2012Q3,Forestry and Mining,Male,10300
2012Q4,Forestry and Mining,Male,9800
2013Q1,Forestry and Mining,Male,9900
2013Q2,Forestry and Mining,Male,10200
2013Q3,Forestry and Mining,Male,10300
2013Q4,Forestry and Mining,Male,9900
2014Q1,Forestry and Mining,Male,9300
2014Q2,Forestry and Mining,Male,9100
2014Q3,Forestry and Mining,Male,8700
2014Q4,Forestry and Mining,Male,8000
2015Q1,Forestry and Mining,Male,8100
2015Q2,Forestry and Mining,Male,8000
2015Q3,Forestry and Mining,Male,7300
2015Q4,Forestry and Mining,Male,7100
2016Q1,Forestry and Mining,Male,7200
2016Q2,Forestry and Mining,Male,7800
2016Q3,Forestry and Mining,Male,7900
2016Q4,Forestry and Mining,Male,8100
2017Q1,Forestry and Mining,Male,8000
2017Q2,Forestry and Mining,Male,8200
2017Q3,Forestry and Mining,Male,8000
2017Q4,Forestry and Mining,Male,8200
2018Q1,Forestry and Mining,Male,7600
2018Q2,Forestry and Mining,Male,7500
2018Q3,Forestry and Mining,Male,7500
2018Q4,Forestry and Mining,Male,7600
1989Q1,Forestry and Mining,Female,1400
1989Q2,Forestry and Mining,Female,1300
1989Q3,Forestry and Mining,Female,1200
1989Q4,Forestry and Mining,Female,1100
1990Q1,Forestry and Mining,Female,900
1990Q2,Forestry and Mining,Female,1000
1990Q3,Forestry and Mining,Female,1100
1990Q4,Forestry and Mining,Female,1100
1991Q1,Forestry and Mining,Female,1000
1991Q2,Forestry and Mining,Female,1100
1991Q3,Forestry and Mining,Female,1100
1991Q4,Forestry and Mining,Female,1100
1992Q1,Forestry and Mining,Female,1000
1992Q2,Forestry and Mining,Female,900
1992Q3,Forestry and Mining,Female,1000
1992Q4,Forestry and Mining,Female,1000
1993Q1,Forestry and Mining,Female,1100
1993Q2,Forestry and Mining,Female,800
1993Q3,Forestry and Mining,Female,900
1993Q4,Forestry and Mining,Female,900
1994Q1,Forestry and Mining,Female,1100
1994Q2,Forestry and Mining,Female,1000
1994Q3,Forestry and Mining,Female,1100
1994Q4,Forestry and Mining,Female,1100
1995Q1,Forestry and Mining,Female,1300
1995Q2,Forestry and Mining,Female,1100
1995Q3,Forestry and Mining,Female,1100
