YearQuarter,Industry,Total Gross Earnings
1989Q1,Forestry and Mining,6273000
1989Q2,Forestry and Mining,5601500
1989Q3,Forestry and Mining,5417300
1989Q4,Forestry and Mining,5228800
1990Q1,Forestry and Mining,5234500
1990Q2,Forestry and Mining,5004300
1990Q3,Forestry and Mining,5385500
1990Q4,Forestry and Mining,5388800
1991Q1,Forestry and Mining,5769000
1991Q2,Forestry and Mining,5560500
1991Q3,Forestry and Mining,5727100
1991Q4,Forestry and Mining,5879700
1992Q1,Forestry and Mining,6338500
1992Q2,Forestry and Mining,5993000
1992Q3,Forestry and Mining,5995200
1992Q4,Forestry and Mining,5815100
1993Q1,Forestry and Mining,6628800
1993Q2,Forestry and Mining,5956400
1993Q3,Forestry and Mining,5954400
1993Q4,Forestry and Mining,6107000
1994Q1,Forestry and Mining,7539900
1994Q2,Forestry and Mining,7049700
1994Q3,Forestry and Mining,7032800
1994Q4,Forestry and Mining,6989000
1995Q1,Forestry and Mining,8202900
1995Q2,Forestry and Mining,7649300
1995Q3,Forestry and Mining,7664200
1995Q4,Forestry and Mining,7781400
1996Q1,Forestry and Mining,8511600
1996Q2,Forestry and Mining,7009200
1996Q3,Forestry and Mining,7564400
1996Q4,Forestry and Mining,7780300
1997Q1,Forestry and Mining,8562600
1997Q2,Forestry and Mining,7643900
1997Q3,Forestry and Mining,7699100
1997Q4,Forestry and Mining,7548300
1998Q1,Forestry and Mining,8875200
1998Q2,Forestry and Mining,7706100
1998Q3,Forestry and Mining,7266200
1998Q4,Forestry and Mining,7281700
1999Q1,Forestry and Mining,7032100
1999Q2,Forestry and Mining,7019600
1999Q3,Forestry and Mining,7140200
1999Q4,Forestry and Mining,7336700
2000Q1,Forestry and Mining,6458300
2000Q2,Forestry and Mining,6696500
2000Q3,Forestry and Mining,6834400
2000Q4,Forestry and Mining,7240900
2001Q1,Forestry and Mining,6924600
2001Q2,Forestry and Mining,7084000
2001Q3,Forestry and Mining,7155900
2001Q4,Forestry and Mining,8604300
2002Q1,Forestry and Mining,8987600
2002Q2,Forestry and Mining,9568200
2002Q3,Forestry and Mining,10210100
2002Q4,Forestry and Mining,10532100
2003Q1,Forestry and Mining,10520400
2003Q2,Forestry and Mining,10519300
2003Q3,Forestry and Mining,9883300
2003Q4,Forestry and Mining,9857700
2004Q1,Forestry and Mining,9938600
2004Q2,Forestry and Mining,9734300
2004Q3,Forestry and Mining,9820500
2004Q4,Forestry and Mining,10005600
2005Q1,Forestry and Mining,9933100
2005Q2,Forestry and Mining,9543900
2005Q3,Forestry and Mining,9206100
2005Q4,Forestry and Mining,9876100
2006Q1,Forestry and Mining,10057000
2006Q2,Forestry and Mining,11115300
2006Q3,Forestry and Mining,11201900
2006Q4,Forestry and Mining,11608200
2007Q1,Forestry and Mining,10161600
2007Q2,Forestry and Mining,10788400
2007Q3,Forestry and Mining,11470000
2007Q4,Forestry and Mining,11591100
2008Q1,Forestry and Mining,11397600
2008Q2,Forestry and Mining,11705600
2008Q3,Forestry and Mining,11380500
