Industry,Average_Hourly_Pay_Difference,"('Ordinary Time Hourly Earnings', 'Female')","('Ordinary Time Hourly Earnings', 'Male')","('Overtime Hourly Earnings', 'Female')","('Overtime Hourly Earnings', 'Male')","('Total (Ordinary Time + Overtime) Hourly Earnings', 'Female')","('Total (Ordinary Time + Overtime) Hourly Earnings', 'Male')","('Average Total (Ordinary Time + Overtime) Weekly Hours Paid', 'Female')","('Average Total (Ordinary Time + Overtime) Weekly Hours Paid', 'Male')","('Average Weekly Ordinary Time Hours Paid', 'Female')","('Average Weekly Ordinary Time Hours Paid', 'Male')","('Average Weekly Overtime Hours Paid', 'Female')","('Average Weekly Overtime Hours Paid', 'Male')","('Number of Full-Time Paid Employees', 'Female')","('Number of Full-Time Paid Employees', 'Male')","('Number of Part-Time Paid Employees', 'Female')","('Number of Part-Time Paid Employees', 'Male')","('Number of Working Proprietors', 'Female')","('Number of Working Proprietors', 'Male')","('Total Number of People in Employment', 'Female')","('Total Number of People in Employment', 'Male')","('Number of Full-Time Equivalent Employees', 'Female')","('Number of Full-Time Equivalent Employees', 'Male')",Total Gross Earnings
Accommodation and Food Services,,16.62,17.89,29.97,23.83,16.7,17.93,25.3,29.11,25.15,28.9,0.14,0.2,24600,20800,41300,20800,5700,6600,71600,48200,45200,31200,49573300
Accommodation and Food Services,,16.89,18.44,30.48,26.7,16.94,18.48,23.77,28.15,23.68,28.03,0.09,0.12,24500,21100,44000,22100,6300,7400,74800,50600,46500,32100,50043400
Accommodation and Food Services,,17.16,18.93,30.39,24.25,17.2,18.95,22.85,28.03,22.78,27.91,0.07,0.12,24500,20900,45300,22000,6200,7900,76000,50800,47200,31900,50228100
Accommodation and Food Services,,17.36,18.9,23.53,24.1,17.41,18.93,24.49,28.78,24.28,28.59,0.21,0.18,24700,20900,47600,23300,6300,7400,78600,51600,48500,32500,54896500
Accommodation and Food Services,,17.33,18.73,21.37,21.99,17.36,18.76,24.91,28.44,24.7,28.24,0.21,0.2,26300,22200,49000,23400,7400,8600,82700,54200,50800,33900,56873700
Accommodation and Food Services,,17.68,19.0,32.02,23.43,17.78,19.03,24.24,28.1,24.08,27.91,0.16,0.19,24300,20600,44800,22900,6500,7700,75600,51100,46700,32000,53015100
Accommodation and Food Services,,17.79,19.24,30.69,23.49,17.85,19.27,23.93,28.3,23.82,28.13,0.11,0.17,25300,20700,46000,24100,8100,7900,79400,52700,48300,32700,54865600
Accommodation and Food Services,,18.03,19.38,29.81,23.54,18.14,19.41,24.26,27.67,24.04,27.45,0.23,0.21,26000,21600,49800,25700,7200,7400,83000,54700,50900,34400,58757800
Accommodation and Food Services,,18.25,19.73,25.01,21.67,18.33,19.75,25.3,28.57,24.99,28.26,0.3,0.32,28400,23600,49500,25200,6400,7800,84200,56700,53100,36200,63645700
Accommodation and Food Services,,18.38,20.12,30.54,26.82,18.46,20.17,23.92,28.39,23.76,28.2,0.16,0.19,27300,24300,50500,25300,5800,7400,83700,57100,52600,37000,62776300
Accommodation and Food Services,,18.5,20.08,33.36,28.43,18.58,20.12,23.96,27.09,23.84,26.96,0.12,0.13,27400,23300,51700,29600,5600,7000,84800,59900,53300,38100,64088800
Accommodation and Food Services,,18.32,19.86,30.31,26.04,18.39,19.91,24.17,29.26,24.03,29.06,0.14,0.2,28800,24500,54200,28100,5300,7100,88300,59700,55900,38500,67476500
Accommodation and Food Services,,18.29,19.56,30.03,28.87,18.37,19.62,24.15,28.91,23.98,28.71,0.17,0.2,32300,25700,56200,28700,6700,7500,95200,62000,60400,40100,70160800
Accommodation and Food Services,,18.73,20.29,32.03,31.96,18.82,20.35,23.92,28.43,23.77,28.28,0.15,0.15,30800,25700,55400,30100,6300,8000,92500,63800,58500,40700,71070700
Accommodation and Food Services,,18.51,20.2,30.01,30.02,18.57,20.26,24.82,26.87,24.69,26.73,0.12,0.15,31700,26700,50200,30200,7200,8200,89100,65100,56800,41800,68721100
Accommodation and Food Services,,18.61,20.57,30.19,28.36,18.7,20.64,24.42,28.88,24.22,28.64,0.2,0.24,31300,25600,54200,24900,8100,9200,93700,59700,58400,38000,69148600
Accommodation and Food Services,,18.77,20.53,32.47,33.11,18.92,20.67,27.07,30.21,26.76,29.88,0.31,0.33,32000,25700,49600,25700,7400,8900,89000,60300,56800,38600,73901400
Accommodation and Food Services,,19.2,21.15,29.35,32.37,19.26,21.2,24.48,28.35,24.33,28.22,0.15,0.13,30900,24200,49500,24300,7500,8600,87900,57200,55600,36400,67046700
